date,year,month,vehicle_type,sales_volume,avg_price,ad_expenditure_k,gdp,unemployment,recession,dayofyear
2000-02-27,2000,2,Sedan,128,22372.62,5.22,19877.63,4.39,0,58
2000-02-28,2000,2,Sedan,119,22297.81,4.91,20164.71,4.81,0,59
2000-02-29,2000,2,SUV,162,30861.04,8.19,20028.73,4.22,0,60
2000-03-01,2000,3,SUV,141,29349.8,7.2,19888.07,4.71,0,61
2000-03-02,2000,3,Sedan,119,21506.4,5.47,19820.3,4.66,0,62
2000-03-03,2000,3,Truck,135,36239.67,6.92,19884.14,4.24,0,63
2000-03-04,2000,3,SUV,156,29705.89,7.8,20241.69,4.41,0,64
2000-03-05,2000,3,Sedan,116,22066.81,5.12,19929.56,4.76,0,65
2000-03-06,2000,3,SUV,148,29712.78,5.16,19995.23,4.43,0,66
2000-03-07,2000,3,Sedan,125,21517.04,5.78,19867.91,4.41,0,67
2000-03-08,2000,3,Truck,130,33979.91,7.09,20115.9,4.67,0,68
2000-03-09,2000,3,Sedan,120,22428.27,5.08,20073.23,4.55,0,69
2000-03-10,2000,3,EV,70,37994.92,3.54,20097.42,4.05,0,70
2000-03-11,2000,3,Hatchback,99,16585.16,4.53,19958.36,4.53,0,71
2000-03-12,2000,3,Sedan,117,22616.34,5.75,19839.29,6.18,0,72
2000-03-13,2000,3,Sedan,118,22621.32,5.24,20332.58,4.36,0,73
2000-03-14,2000,3,Truck,139,35903.74,7.2,19773.48,5.44,0,74
2000-03-15,2000,3,Hatchback,98,15742.91,5.2,20006.6,4.72,0,75
2000-03-16,2000,3,Hatchback,109,16213.84,5.49,20364.01,4.79,0,76
2000-03-17,2000,3,Hatchback,106,15633.84,4.61,20199.88,4.74,0,77
2000-03-18,2000,3,Sedan,110,22021.44,6.13,20225.71,4.86,0,78
2000-03-19,2000,3,SUV,165,29916.86,5.31,19910.53,5.23,0,79
2000-03-20,2000,3,Sedan,125,22203.39,6.08,20002.24,3.66,0,80
2000-03-21,2000,3,Truck,135,34336.8,5.9,19768.9,3.51,0,81
2000-03-22,2000,3,Hatchback,113,16511.26,5.37,19929.16,4.76,0,82
2000-03-23,2000,3,SUV,162,30193.6,7.94,19940.67,4.3,0,83
2000-03-24,2000,3,Sedan,120,21471.32,4.76,20089.48,4.6,0,84
2000-03-25,2000,3,SUV,154,30912.36,8.05,19752.53,4.53,0,85
2000-03-26,2000,3,SUV,162,29975.13,6.34,19863.49,4.54,0,86
2000-03-27,2000,3,Hatchback,113,15780.2,4.44,19978.28,5.32,0,87
2000-03-28,2000,3,Hatchback,104,15944.95,4.59,19679.96,5.15,0,88
2000-03-29,2000,3,Truck,132,34369.43,5.86,19902.68,4.75,0,89
2000-03-30,2000,3,SUV,148,31637.1,6.18,20036.29,3.91,0,90
2000-03-31,2000,3,Sedan,110,22076.72,6.19,20079.91,4.73,0,91
2000-04-01,2000,4,Hatchback,106,16297.23,4.33,20007.59,4.87,0,92
2000-04-02,2000,4,Hatchback,108,16266.15,4.86,19943.83,5.55,0,93
2000-04-03,2000,4,Hatchback,113,15478.65,5.12,20139.62,3.42,0,94
2000-04-04,2000,4,Hatchback,108,15929.33,4.5,19970.36,5.5,0,95
2000-04-05,2000,4,SUV,157,29516.2,7.69,20000.33,4.98,0,96
2000-04-06,2000,4,SUV,158,28459.45,6.13,20083.42,3.78,0,97
2000-04-07,2000,4,SUV,153,29503.12,6.66,20054.32,5.3,0,98
2000-04-08,2000,4,Sedan,114,21678.25,4.17,20028.34,5.27,0,99
2000-04-09,2000,4,Sedan,123,21449.25,5.51,20165.85,4.88,0,100
2000-04-10,2000,4,Sedan,124,21674.78,5.38,20326.92,4.7,0,101
2000-04-11,2000,4,Hatchback,100,15699.78,5.13,19820.81,4.94,0,102
2000-04-12,2000,4,SUV,145,30183.97,7.26,20103.55,4.46,0,103
2000-04-13,2000,4,SUV,153,30911.41,7.16,20084.92,4.64,0,104
2000-04-14,2000,4,Truck,126,35635.89,6.48,19963.61,5.1,0,105
2000-04-15,2000,4,Sedan,128,22434.95,5.54,19738.35,4.88,0,106
2000-04-16,2000,4,SUV,159,30812.34,7.08,20420.2,3.92,0,107
2000-04-17,2000,4,Hatchback,108,15389.69,4.85,19708.57,4.72,0,108
2000-04-18,2000,4,Sedan,122,21336.66,6.0,20019.62,5.31,0,109
2000-04-19,2000,4,Sedan,114,21464.3,4.79,20095.56,5.54,0,110
2000-04-20,2000,4,Sedan,118,21329.69,5.6,20133.71,4.08,0,111
2000-04-21,2000,4,Sedan,119,20709.14,6.23,20070.74,5.16,0,112
2000-04-22,2000,4,Truck,124,35373.84,6.0,20006.42,5.34,0,113
2000-04-23,2000,4,Truck,139,35107.7,5.63,19962.32,5.01,0,114
2000-04-24,2000,4,Hatchback,108,16002.73,5.75,19951.96,5.27,0,115
2000-04-25,2000,4,Truck,135,34433.17,5.56,20004.05,4.03,0,116
2000-04-26,2000,4,Truck,129,36249.24,6.29,20125.05,5.38,0,117
2000-04-27,2000,4,Sedan,113,23067.18,5.46,20223.29,5.28,0,118
2000-04-28,2000,4,Truck,123,35102.72,6.25,19849.18,4.24,0,119
2000-04-29,2000,4,SUV,150,30710.99,8.45,20279.32,5.23,0,120
2000-04-30,2000,4,Truck,123,35146.95,5.67,20115.44,5.16,0,121
2000-05-01,2000,5,Truck,134,34366.79,6.61,19860.87,4.33,0,122
2000-05-02,2000,5,SUV,159,30292.81,7.16,20062.03,4.87,0,123
2000-05-03,2000,5,Sedan,108,21965.32,5.54,20002.27,5.14,0,124
2000-05-04,2000,5,Sedan,117,21936.38,6.5,20016.14,5.97,0,125
2000-05-05,2000,5,SUV,153,29460.33,6.12,19801.71,4.36,0,126
2000-05-06,2000,5,Truck,129,35130.85,6.83,19982.44,5.84,0,127
2000-05-07,2000,5,Truck,121,34622.48,6.62,19552.04,4.08,0,128
2000-05-08,2000,5,Sedan,119,22099.37,4.76,19760.57,5.64,0,129
2000-05-09,2000,5,SUV,144,30886.42,7.87,20254.81,4.32,0,130
2000-05-10,2000,5,SUV,143,30201.08,7.41,20295.64,3.93,0,131
2000-05-11,2000,5,Sedan,117,22376.52,5.24,19837.21,4.5,0,132
2000-05-12,2000,5,Sedan,108,21660.02,5.93,20128.01,5.64,0,133
2000-05-13,2000,5,SUV,153,30840.06,6.7,19702.35,4.9,0,134
2000-05-14,2000,5,Truck,125,36018.85,7.36,20012.49,5.08,0,135
2000-05-15,2000,5,SUV,149,29270.67,5.33,19841.86,4.07,0,136
2000-05-16,2000,5,SUV,161,29158.24,8.07,20190.28,4.02,0,137
2000-05-17,2000,5,Hatchback,99,16239.36,4.34,19980.23,4.46,0,138
2000-05-18,2000,5,SUV,149,29678.85,7.0,20407.21,4.59,0,139
2000-05-19,2000,5,EV,64,37890.92,2.83,20446.3,4.62,0,140
2000-05-20,2000,5,EV,66,39314.89,2.75,20055.2,5.84,0,141
2000-05-21,2000,5,Sedan,111,21727.91,5.61,20266.16,4.63,0,142
2000-05-22,2000,5,SUV,146,29133.77,6.8,20287.61,4.83,0,143
2000-05-23,2000,5,SUV,148,30665.52,6.71,20137.66,4.38,0,144
2000-05-24,2000,5,Sedan,120,21611.75,5.8,20015.96,4.96,0,145
2000-05-25,2000,5,Sedan,110,22709.88,5.99,20271.79,4.54,0,146
2000-05-26,2000,5,Hatchback,103,16360.96,5.52,20038.61,4.04,0,147
2000-05-27,2000,5,SUV,155,29634.94,7.44,19697.78,5.33,0,148
2000-05-28,2000,5,Sedan,103,22107.56,6.07,20021.31,5.12,0,149
2000-05-29,2000,5,Sedan,110,22037.61,5.4,19662.69,4.42,0,150
2000-05-30,2000,5,Truck,122,34890.93,5.85,19827.28,4.55,0,151
2000-05-31,2000,5,Sedan,109,22173.09,5.4,19794.07,4.1,0,152
2000-06-01,2000,6,Sedan,120,21771.8,5.78,20072.17,5.06,0,153
2000-06-02,2000,6,SUV,141,30036.81,6.93,20049.08,5.33,0,154
2000-06-03,2000,6,EV,65,38811.8,3.62,20316.79,3.92,0,155
2000-06-04,2000,6,Sedan,115,21610.31,5.64,20210.22,4.39,0,156
2000-06-05,2000,6,Hatchback,102,15657.27,4.88,20060.19,4.4,0,157
2000-06-06,2000,6,Hatchback,93,16256.52,5.27,19827.72,5.13,0,158
2000-06-07,2000,6,Sedan,100,21838.46,6.12,20131.19,4.8,0,159
2000-06-08,2000,6,Hatchback,94,16034.81,4.42,19930.38,4.69,0,160
2000-06-09,2000,6,SUV,130,30246.3,7.16,19938.25,4.34,0,161
2000-06-10,2000,6,Hatchback,102,16080.51,4.71,20007.26,5.03,0,162
2000-06-11,2000,6,Hatchback,89,16381.03,5.82,19974.0,4.82,0,163
2000-06-12,2000,6,SUV,152,29629.63,6.71,20191.31,4.29,0,164
2000-06-13,2000,6,Sedan,112,22227.8,5.36,19874.04,5.53,0,165
2000-06-14,2000,6,Truck,114,34943.9,6.17,19793.83,4.52,0,166
2000-06-15,2000,6,SUV,136,29468.42,5.89,19606.58,4.06,0,167
2000-06-16,2000,6,Sedan,112,22220.55,5.8,20011.24,4.76,0,168
2000-06-17,2000,6,Sedan,110,22615.6,5.84,19876.44,4.55,0,169
2000-06-18,2000,6,Hatchback,92,15870.38,4.55,20063.96,4.75,0,170
2000-06-19,2000,6,Hatchback,99,16292.18,4.96,19718.32,4.55,0,171
2000-06-20,2000,6,Sedan,105,22942.03,5.51,20009.77,4.47,0,172
2000-06-21,2000,6,SUV,134,31298.94,8.09,20196.86,4.1,0,173
2000-06-22,2000,6,Sedan,106,22260.97,4.95,19869.98,4.57,0,174
2000-06-23,2000,6,Hatchback,92,15385.28,5.27,19741.54,4.32,0,175
2000-06-24,2000,6,Sedan,91,22664.72,5.65,19760.33,5.31,0,176
2000-06-25,2000,6,Hatchback,98,16651.12,5.36,20136.53,4.4,0,177
2000-06-26,2000,6,SUV,136,30311.9,6.66,20025.62,4.39,0,178
2000-06-27,2000,6,Truck,103,33948.33,6.11,20066.6,4.96,0,179
2000-06-28,2000,6,Sedan,100,22207.23,5.9,20346.69,4.92,0,180
2000-06-29,2000,6,SUV,129,30261.57,7.63,19961.54,5.07,0,181
2000-06-30,2000,6,Sedan,100,22401.55,5.99,20023.57,4.28,0,182
2000-07-01,2000,7,Truck,108,36714.17,5.84,20091.17,4.52,0,183
2000-07-02,2000,7,Truck,103,33542.27,6.87,19553.97,4.67,0,184
2000-07-03,2000,7,Sedan,91,22605.67,5.61,19806.92,4.51,0,185
2000-07-04,2000,7,Hatchback,85,16055.33,5.89,19616.74,4.78,0,186
2000-07-05,2000,7,Truck,109,35248.37,6.41,20069.02,4.33,0,187
2000-07-06,2000,7,Hatchback,96,16292.97,5.58,20083.54,5.54,0,188
2000-07-07,2000,7,SUV,128,29996.04,7.13,19896.12,5.62,0,189
2000-07-08,2000,7,Sedan,99,22170.84,7.14,19773.66,4.38,0,190
2000-07-09,2000,7,Sedan,90,22108.03,5.24,19892.05,4.87,0,191
2000-07-10,2000,7,Truck,105,35779.96,6.46,20176.2,5.34,0,192
2000-07-11,2000,7,Truck,107,34459.42,5.81,19895.26,5.17,0,193
2000-07-12,2000,7,Hatchback,89,15628.69,5.66,19914.6,4.25,0,194
2000-07-13,2000,7,SUV,128,29767.37,6.92,19961.58,4.73,0,195
2000-07-14,2000,7,SUV,120,30645.36,7.37,19777.77,4.63,0,196
2000-07-15,2000,7,Hatchback,83,16425.74,4.88,19982.37,5.69,0,197
2000-07-16,2000,7,Truck,110,36370.69,6.35,19602.69,5.22,0,198
2000-07-17,2000,7,Truck,97,33800.38,5.77,19927.24,4.41,0,199
2000-07-18,2000,7,Hatchback,85,15771.54,5.22,19806.87,4.71,0,200
2000-07-19,2000,7,Hatchback,84,15580.25,5.19,20224.62,4.76,0,201
2000-07-20,2000,7,Sedan,91,22024.41,5.63,19494.35,4.27,0,202
2000-07-21,2000,7,Sedan,89,22081.79,5.85,20051.52,4.15,0,203
2000-07-22,2000,7,Truck,112,34119.26,6.25,19880.92,4.87,0,204
2000-07-23,2000,7,Hatchback,92,16240.41,5.1,19932.04,4.89,0,205
2000-07-24,2000,7,Sedan,99,21610.11,4.61,20102.61,4.92,0,206
2000-07-25,2000,7,Sedan,90,21814.42,5.43,19996.67,4.62,0,207
2000-07-26,2000,7,Hatchback,85,15634.41,5.19,20034.43,4.88,0,208
2000-07-27,2000,7,Sedan,96,22211.3,5.89,19899.13,4.95,0,209
2000-07-28,2000,7,Sedan,89,21858.29,5.76,20016.33,5.0,0,210
2000-07-29,2000,7,SUV,114,30018.82,7.2,20048.52,4.5,0,211
2000-07-30,2000,7,Hatchback,76,15912.45,5.03,19943.71,4.8,0,212
2000-07-31,2000,7,Hatchback,77,16151.59,4.65,20032.79,5.01,0,213
2000-08-01,2000,8,Sedan,85,23067.48,5.21,20124.68,5.77,0,214
2000-08-02,2000,8,Hatchback,84,15978.52,4.54,20176.34,5.08,0,215
2000-08-03,2000,8,Sedan,85,21418.66,6.04,20024.07,4.91,0,216
2000-08-04,2000,8,SUV,108,30577.57,7.18,20181.45,4.61,0,217
2000-08-05,2000,8,Hatchback,80,16234.35,5.34,19940.96,5.11,0,218
2000-08-06,2000,8,Hatchback,85,15835.68,5.61,19869.11,5.11,0,219
2000-08-07,2000,8,Truck,93,35790.02,4.38,19603.17,5.06,0,220
2000-08-08,2000,8,Hatchback,81,16047.3,3.7,20141.4,4.92,0,221
2000-08-09,2000,8,Hatchback,78,16157.84,4.94,19625.19,5.9,0,222
2000-08-10,2000,8,Sedan,91,21848.14,5.37,20215.77,3.72,0,223
2000-08-11,2000,8,SUV,106,29828.94,6.81,20015.94,4.5,0,224
2000-08-12,2000,8,Sedan,84,22200.06,5.8,19964.62,4.51,0,225
2000-08-13,2000,8,Sedan,87,21042.22,5.72,20061.83,4.83,0,226
2000-08-14,2000,8,EV,48,37665.71,3.89,20002.58,4.65,0,227
2000-08-15,2000,8,SUV,113,30395.29,6.99,20084.98,5.64,0,228
2000-08-16,2000,8,Truck,104,34540.26,7.06,19841.87,4.98,0,229
2000-08-17,2000,8,Hatchback,80,16028.15,5.4,19857.95,5.63,0,230
2000-08-18,2000,8,Hatchback,73,16320.42,4.91,19919.47,4.55,0,231
2000-08-19,2000,8,SUV,110,30753.14,8.56,20039.88,4.38,0,232
2000-08-20,2000,8,Hatchback,73,15670.36,4.37,20419.43,4.95,0,233
2000-08-21,2000,8,SUV,107,29292.99,6.37,19839.39,5.63,0,234
2000-08-22,2000,8,Sedan,79,22532.43,5.33,19630.12,4.64,0,235
2000-08-23,2000,8,Hatchback,79,16575.49,4.53,20009.34,4.45,0,236
2000-08-24,2000,8,Sedan,78,22203.84,5.66,20085.36,4.46,0,237
2000-08-25,2000,8,Sedan,79,22510.93,6.38,20159.09,4.81,0,238
2000-08-26,2000,8,Hatchback,76,15671.7,4.96,19733.03,4.74,0,239
2000-08-27,2000,8,Sedan,93,21593.83,5.46,19833.12,4.77,0,240
2000-08-28,2000,8,Truck,98,36738.9,6.77,20040.8,5.14,0,241
2000-08-29,2000,8,EV,48,38992.39,3.63,19951.79,4.94,0,242
2000-08-30,2000,8,Truck,99,33975.83,6.2,19966.47,5.36,0,243
2000-08-31,2000,8,SUV,115,29329.26,6.59,20222.82,4.5,0,244
2000-09-01,2000,9,Sedan,76,21759.22,6.48,20059.24,4.88,0,245
2000-09-02,2000,9,Truck,91,35250.99,5.8,19841.18,4.76,0,246
2000-09-03,2000,9,SUV,104,28914.99,7.05,20122.03,4.97,0,247
2000-09-04,2000,9,EV,46,37326.61,3.29,20130.37,5.03,0,248
2000-09-05,2000,9,EV,47,38065.89,3.55,20305.82,5.36,0,249
2000-09-06,2000,9,Truck,96,35555.75,6.18,19758.14,4.95,0,250
2000-09-07,2000,9,Sedan,84,21943.68,5.08,20131.3,4.14,0,251
2000-09-08,2000,9,SUV,113,30147.32,7.55,20118.14,4.1,0,252
2000-09-09,2000,9,Truck,94,34555.32,5.6,19933.19,4.15,0,253
2000-09-10,2000,9,SUV,117,30271.02,6.99,19960.58,5.18,0,254
2000-09-11,2000,9,Sedan,89,21508.26,6.35,19642.57,4.3,0,255
2000-09-12,2000,9,Hatchback,69,16355.89,5.37,19885.04,5.44,0,256
2000-09-13,2000,9,Truck,96,34684.53,7.42,20144.23,4.93,0,257
2000-09-14,2000,9,Hatchback,80,15838.2,4.99,20207.73,3.8,0,258
2000-09-15,2000,9,Hatchback,73,15836.2,5.72,20282.95,4.77,0,259
2000-09-16,2000,9,Sedan,77,23172.43,6.53,20025.08,4.5,0,260
2000-09-17,2000,9,Hatchback,73,15602.13,4.99,20264.48,3.9,0,261
2000-09-18,2000,9,EV,54,37573.98,3.86,19861.93,5.02,0,262
2000-09-19,2000,9,Sedan,78,21728.39,5.88,20169.76,4.77,0,263
2000-09-20,2000,9,SUV,98,30253.21,7.0,20373.45,4.02,0,264
2000-09-21,2000,9,Truck,76,35497.3,5.41,19803.81,5.28,0,265
2000-09-22,2000,9,Hatchback,75,16250.06,4.74,19924.2,5.2,0,266
2000-09-23,2000,9,Hatchback,62,15861.35,5.41,20051.11,5.23,0,267
2000-09-24,2000,9,Hatchback,62,16209.24,4.28,20172.41,4.74,0,268
2000-09-25,2000,9,SUV,115,30821.47,6.87,19676.57,4.54,0,269
2000-09-26,2000,9,Sedan,83,22757.66,6.28,19806.92,5.37,0,270
2000-09-27,2000,9,Truck,89,34851.66,5.62,20007.42,4.44,0,271
2000-09-28,2000,9,Truck,84,35440.11,5.94,20273.53,4.67,0,272
2000-09-29,2000,9,Truck,88,34907.3,6.1,19495.91,4.81,0,273
2000-09-30,2000,9,Truck,77,34065.27,5.42,19890.23,4.56,0,274
2000-10-01,2000,10,SUV,108,28859.36,7.21,20063.65,4.64,0,275
2000-10-02,2000,10,SUV,104,30458.76,6.02,19951.14,5.55,0,276
2000-10-03,2000,10,Hatchback,80,16171.78,5.77,20383.57,4.74,0,277
2000-10-04,2000,10,Hatchback,67,16990.94,4.17,19905.89,4.09,0,278
2000-10-05,2000,10,Hatchback,71,15965.2,3.98,20123.52,5.41,0,279
2000-10-06,2000,10,Hatchback,70,15947.71,5.04,19992.37,5.18,0,280
2000-10-07,2000,10,Truck,93,34783.47,6.6,19715.67,3.81,0,281
2000-10-08,2000,10,SUV,106,29566.62,6.74,19847.96,4.37,0,282
2000-10-09,2000,10,SUV,105,29840.69,6.5,19708.94,5.24,0,283
2000-10-10,2000,10,Sedan,78,21336.45,5.09,20151.22,6.09,0,284
2000-10-11,2000,10,Hatchback,62,16131.93,4.65,20169.9,4.37,0,285
2000-10-12,2000,10,Sedan,80,22536.55,5.13,19929.63,5.27,0,286
2000-10-13,2000,10,SUV,100,28906.48,6.37,20076.43,4.3,0,287
2000-10-14,2000,10,SUV,103,29652.49,7.74,20043.13,5.02,0,288
2000-10-15,2000,10,Sedan,87,22677.09,6.0,19895.31,5.45,0,289
2000-10-16,2000,10,Hatchback,73,16089.08,5.5,20091.01,5.71,0,290
2000-10-17,2000,10,Sedan,87,21548.53,5.4,20014.33,5.15,0,291
2000-10-18,2000,10,Sedan,84,22052.95,5.9,19828.28,5.65,0,292
2000-10-19,2000,10,Truck,82,34968.37,6.66,20072.77,4.97,0,293
2000-10-20,2000,10,SUV,110,29802.7,7.89,19783.11,4.8,0,294
2000-10-21,2000,10,Sedan,87,22202.75,5.28,20179.34,4.47,0,295
2000-10-22,2000,10,SUV,114,29076.22,6.3,20008.73,4.87,0,296
2000-10-23,2000,10,Hatchback,82,16012.63,4.43,19901.47,5.64,0,297
2000-10-24,2000,10,Sedan,77,22172.88,5.49,20103.89,4.22,0,298
2000-10-25,2000,10,Hatchback,85,16015.07,6.15,19920.19,5.0,0,299
2000-10-26,2000,10,Sedan,88,21392.12,4.61,20412.17,4.54,0,300
2000-10-27,2000,10,Sedan,79,22417.27,5.07,19901.75,4.95,0,301
2000-10-28,2000,10,SUV,101,30841.33,7.46,20026.11,4.91,0,302
2000-10-29,2000,10,SUV,110,29512.71,7.3,20023.01,5.3,0,303
2000-10-30,2000,10,Hatchback,80,16093.01,5.11,19545.57,4.01,0,304
2000-10-31,2000,10,Hatchback,71,15616.23,5.32,20000.42,4.69,0,305
2000-11-01,2000,11,EV,43,36003.72,3.25,20012.64,4.92,0,306
2000-11-02,2000,11,SUV,101,29375.14,6.57,20143.59,5.81,0,307
2000-11-03,2000,11,SUV,107,30113.2,7.82,20124.2,6.17,0,308
2000-11-04,2000,11,Hatchback,72,16495.65,5.69,19609.98,4.8,0,309
2000-11-05,2000,11,Sedan,96,22309.67,5.3,19798.16,5.91,0,310
2000-11-06,2000,11,SUV,111,29878.11,7.37,20108.76,4.35,0,311
2000-11-07,2000,11,Sedan,78,22457.5,5.31,20093.26,5.51,0,312
2000-11-08,2000,11,Sedan,85,22085.33,5.53,20249.23,4.96,0,313
2000-11-09,2000,11,EV,49,38935.17,2.86,20306.56,4.98,0,314
2000-11-10,2000,11,Truck,97,34603.12,6.63,19924.64,4.06,0,315
2000-11-11,2000,11,Hatchback,72,15697.45,5.75,20237.86,5.47,0,316
2000-11-12,2000,11,SUV,112,29283.77,7.86,20075.97,5.08,0,317
2000-11-13,2000,11,Sedan,93,21944.5,5.68,19812.91,4.71,0,318
2000-11-14,2000,11,Sedan,88,22575.96,4.67,20224.55,5.13,0,319
2000-11-15,2000,11,Sedan,82,21084.68,5.06,20209.44,4.77,0,320
2000-11-16,2000,11,SUV,117,30424.26,6.64,19806.88,4.75,0,321
2000-11-17,2000,11,Hatchback,72,15941.66,5.0,20253.67,5.27,0,322
2000-11-18,2000,11,Hatchback,85,16106.44,4.34,20029.97,5.1,0,323
2000-11-19,2000,11,Sedan,96,22545.77,4.93,19934.72,5.01,0,324
2000-11-20,2000,11,EV,58,37937.34,3.53,19774.83,5.6,0,325
2000-11-21,2000,11,Hatchback,71,16003.22,5.79,20117.29,5.18,0,326
2000-11-22,2000,11,Hatchback,79,15505.63,3.83,20039.25,5.46,0,327
2000-11-23,2000,11,Hatchback,82,16506.79,5.11,19975.47,4.39,0,328
2000-11-24,2000,11,SUV,126,29433.84,6.31,20250.61,4.28,0,329
2000-11-25,2000,11,Sedan,93,22625.94,5.77,20023.72,4.71,0,330
2000-11-26,2000,11,SUV,127,29458.08,5.92,20035.46,4.8,0,331
2000-11-27,2000,11,Hatchback,73,15816.34,4.95,20145.18,5.55,0,332
2000-11-28,2000,11,Sedan,93,22162.32,5.53,19733.57,5.0,0,333
2000-11-29,2000,11,Sedan,99,21298.56,5.52,19757.26,5.23,0,334
2000-11-30,2000,11,Sedan,92,21854.29,5.38,20001.65,4.41,0,335
2000-12-01,2000,12,Sedan,86,21830.42,5.59,20057.06,4.96,0,336
2000-12-02,2000,12,Truck,91,34587.92,6.29,19854.41,4.62,0,337
2000-12-03,2000,12,Hatchback,90,15758.39,5.89,19991.08,4.45,0,338
2000-12-04,2000,12,SUV,125,29791.01,7.29,19868.38,4.29,0,339
2000-12-05,2000,12,Sedan,89,22004.71,5.69,20170.61,5.36,0,340
